keys,en,ru
Text/16/text,What did you say? I didn't hear you,Что ты сказал? Не расслышал
Text/17/text,"However, let's not waste time","Впрочем, не будем терять времени"
Text/18/text,Do you wanna job?,Работу хочешь?
Choice/19/text,Yes,Хочу
Choice/19/disabled_text,,
Text/1a/text,Good mood!,Превосходно!
Choice/1b/text,No,Нет
Choice/1b/disabled_text,,
Text/1c/text,Then why'd you come here?,И зачем ты тогда пришёл сюда?
Text/1d/text,"Eh, anyway... you’re here now.","Ладно, продолжим, раз ты здесь."
Text/1e/text,"You can call me [b][color=#e77d18]Mr. Jock[/color][/b], and I’ll be your first step in this job interview","Зови меня [b][color=#e77d18]Шутнярой[/color][/b], я твой первый интервьюер"
Text/1f/text,"Introduce yourself, please.","Представься, пожалуйста"
Text/20/text,"Haha, namesake!","Хех, тёска!"
Text/21/text,"Very nice to meet you, [color=#2effff][b]{Players_name}[/b][/color]","Приятно познакомиться, [color=#2effff][b]{Players_name}[/b][/color]"
Text/22/text,"Tell me, is this your first interview?","Скажи, это твоё первое собеседование?"
Choice/23/text,Yes,Да
Choice/23/disabled_text,,
Text/24/text,Okey,Ладно
Choice/25/text,No,Нет
Choice/25/disabled_text,,
Text/26/text,"So, you have interview experience. Very good!","О, значит, опыт у тебя есть. Хорошо!"
Text/27/text,But it doesn’t matter because this is your first interview in [i]our company[/i].,"Но значения это не имеет, это твоё первое собеседование в [i]нашей компании[/i]."
Text/28/text,"In our company, we have... how should I put it... certain [i]expectations[/i].",У нас будут... Как бы выразиться... [i]Специфичные[/i] ожидания.
Text/29/text,You’ll learn soon enough.,Скоро сам поймёшь.
Text/2a/text,"To ease your mind, let me share a few things we value in our interviews.",Для ясности давай я тебе расскажу что у нас ценится
Text/2b/text,"First of all, answering [b][color=#6BBF59]confidently[/color][/b] is a big plus. We appreciate people who sound like they know their stuff.","Прежде всего: [b][color=#6BBF59]уверенные ответы[/color][/b] будут огромным плюсом. Мы ищем людей, которые создают впечатление профессионалов."
Text/2c/text,Then there are times when I might throw a tricky question your way. I’d like to see if you can pick up on that and perhaps [b][color=#8e59f5]sidestep it gracefully[/color][/b].,"Но будь внимателен, иногда я буду тебя пытаться подловить. Если заметишь - можешь спокойно [b][color=#8e59f5]уклониться[/color][/b] от ответа, я зачту это."
Text/2d/text,"Oh, and remember, we’re all human here. Sometimes a bit of [b][color=#f7d038]humor[/color][/b] lightens the mood—if the topic allows it, of course.","И не забывай, что все мы люди, как-никак. Немножко [b][color=#f7d038]юмора[/color][/b] не повредит, если он в тему."
Text/2e/text,"And please... [b][color=gray]don’t stay silent[/color][/b]. A quiet candidate makes us nervous. Silence is unsettling, you know.","И пожалуйста... только [b][color=gray]не молчи[/color][/b]. Мы не сможем тебя оценить, если ты будешь молчать."
Text/2f/text,"Don’t be [color=#baee18][b]nervous[/b][/color], though. Nervousness has ruined many candidates.","[color=#baee18][b]Не нервничай[/b][/color] только. Это нормально, но сгубило многих кандидатов."
Text/30/text,It’s just going to be [b][color=#2effff]10 questions[/color][/b].,У нас будет всего [b][color=#2effff]10 вопросов[/color][/b].
Text/31/text,But remember: [b][color=gray]silence isn’t an answer[/color][/b],Повторюсь: [b][color=gray]молчание - это не ответ[/color][/b].
Text/32/text,[b][color=#2effff]Do you understand me?[/color][/b],[b][color=#2effff]Ты меня понял?[/color][/b]
Choice/33/text,"[color=#6BBF59]Yes, perfectly[/color]","[color=#6BBF59]Да, конечно![/color]"
Choice/33/disabled_text,,
Text/34/text,"[color=#6BBF59]Yes, perfectly[/color]","[color=#6BBF59]Да, конечно![/color]"
Text/35/text,"Good, good! I like someone who knows what they’re doing.","Хорошо. Люблю людей, которые знают что делают!"
Choice/36/text,[color=#8e59f5]I think…[/color],[color=#8e59f5]Возможно…[/color]
Choice/36/disabled_text,,
Text/37/text,[color=#8e59f5]I think… but maybe one more time?[/color],[color=#8e59f5]Возможно… Лучше повторить?[/color]
Text/38/text,"Ah, a cautious one! Smart move. But don’t be afraid to speak up when you know the answer — we value clarity.",Осторожный? Это умно. Но не бойся говорить если знаешь ответ - мы ценим прямоту.
Choice/39/text,[color=#f7d038]Got about half of it[/color],[color=#f7d038]Примерно половину[/color]
Choice/39/disabled_text,,
Text/3a/text,[color=#f7d038]Got about half of it[/color],[color=#f7d038]Примерно половину[/color]
Text/3b/text,"Hahaha, I like that! Good sense of humor. Just don’t make a habit of joking instead of giving good answers, eh?","Хахах, шутку понял! Хорошая. Только не заводите привычку шутить вместо ответов, ладно?"
Choice/3c/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/3c/disabled_text,,
Text/3d/text,"Ohhh, cat got your tongue? Or maybe you think silence is a valid answer...","Всё ещё думаешь? Или, думаешь, молчание - это правильный ответ?"
Text/3e/text,"Well, not here, kiddo. No one gets a job by sitting quietly.","[color=#2effff]{Players_name}[/color], я уже говорил - не молчи"
Text/3f/text,"Alright, let’s not drag this out for too long. Let’s get to the point.","Ладно, не будем задерживаться на этом. Начнём собеседование."
Label/40/display_name,,
Text/41/text,"Ah, working with you will be... [i]interesting[/i]. Just don’t [i]mess it up[/i]. Now, let’s get to it...","Ах, работать с вами будет... [i]интересно[/i]. Только не [i]испортите всё[/i]. Ладно, давайте начнём..."
Text/42/text,[color=#2effff][b]What experience of yours would you say was the most... [i]challenging[/i]?[/b][/color],[color=#2effff][b]Какой ваш самый... [i]сложный[/i] опыт?[/b][/color]
Choice/43/text,[color=#6BBF59]Managing a high-pressure project[/color],[color=#6BBF59]Управление проектом в условиях высокого давления[/color]
Choice/43/disabled_text,,
Text/44/text,[color=#6BBF59]Managing a high-pressure project with a tight deadline. This taught me a lot about persistence and teamwork[/color],[color=#6BBF59]Управление проектом с жёсткими сроками. Это многому научило меня — настойчивости и работе в команде[/color]
Text/45/text,"Ah, you sound like you’ve been through the wringer. Good. You’ll need that toughness here.","Ах, похоже, вы прошли через испытания. Хорошо. Здесь вам потребуется эта выдержка.
[color=#8e59f5]Каждый опыт имеет свои трудности[/color]"
Choice/46/text,[color=#8e59f5]Every experience has its own challenges[/color],[color=#8e59f5]Каждый опыт имеет свои трудности[/color]
Choice/46/disabled_text,,
Text/47/text,[color=#8e59f5]Every experience has its own challenges. But I try not to dwell on them too much[/color],[color=#8e59f5]Каждый опыт имеет свои трудности. Но я стараюсь не зацикливаться на них[/color]
Text/48/text,Hmm... diplomatic. I’ll keep an eye on you.,Хм... дипломатично. Я буду за вами присматривать.
Choice/49/text,[color=#f7d038]Waking up on time[/color],[color=#f7d038]Просыпаться вовремя[/color]
Choice/49/disabled_text,,
Text/4a/text,"[color=#f7d038]Waking up on time every Monday morning, honestly[/color]","[color=#f7d038]Просыпаться вовремя каждое утро понедельника, если честно[/color]"
Text/4b/text,Ha-ha!,Ха-ха!
Text/4c/text,Let’s hope you can wake up for this job too.,"Надеюсь, вы будете просыпаться вовремя и для этой работы."
Choice/4d/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/4d/disabled_text,,
Text/4e/text,Cat got your tongue? Or maybe... the question hit a little too close to home?,"Кошка язычок откусила? Или, может, вопрос задел за живое?"
Text/4f/text,"Challenges really shape how we work, don’t they?","Испытания действительно формируют то, как мы работаем, не так ли?"
Text/50/text,It’s interesting to hear what people consider their biggest one,"Интересно узнать, что люди считают своим самым большим вызовом."
Text/51/text,Sometimes the challenge itself teaches more than the solution does,"Иногда само испытание учит большему, чем его решение."
Label/52/display_name,,
Text/53/text,"Our work here requires a strict [i]discipline[/i].
Sometimes, it’s all about [i]staying calm under pressure[/i].",Наша работа требует строгой [i]дисциплины[/i].
Text/54/text,[color=#2effff][b]So... are you easily tempted?[/b][/color],[color=#2effff][b]Итак... вы легко поддаётесь искушению?[/b][/color]
Choice/55/text,[color=#6BBF59]I thrive under pressure[/color],[color=#6BBF59]Я расцветаю под давлением[/color]
Choice/55/disabled_text,,
Text/56/text,[color=#6BBF59]I thrive under pressure and see it as an opportunity to grow[/color],[color=#6BBF59]Я расцветаю под давлением и вижу в этом возможность для роста[/color]
Text/57/text,Honestly... that’s strange.,Честно говоря... это странно.
Choice/58/text,[color=#8e59f5]Every experience has its own challenges[/color],[color=#8e59f5]Каждый опыт имеет свои трудности[/color]
Choice/58/disabled_text,,
