keys,en,ru
Text/18c/text,What the strange layout of the building...,Как странно устроено здание...
Text/18d/text,Hello?,Привет?
Text/18e/text,Mr. Pop?,Мистер пророк?
Text/18f/text,Huh? Who's there?,А? Кто там?
Text/190/text,"Ah, you must be the candidate Mr. Jock mentioned","Ах, ты, наверное, тот кандидат, о котором говорил Шутняра."
Text/191/text,He spoke...,Он говорил...
Text/192/text,...,...
Text/193/text,...highly of you.,...очень хорошо о тебе.
Text/194/text,"Said you’ve got potential, though perhaps still a bit unpolished.","Сказал, что у тебя есть потенциал, хотя ты ещё немного необработан."
Text/195/text,Don’t worry — that’s not unusual.,Не переживай — это нормально.
Text/196/text,I’ve been conducting interviews longer than most people have been working.,"Я провожу собеседования дольше, чем большинство людей работает."
Text/197/text,I’ll warn you now — I take this process seriously.,Предупреждаю сразу — я отношусь к этому процессу серьёзно.
Text/198/text,This isn’t just about skills.,Здесь не только навыки важны.
Text/199/text,"It’s about fit, about resilience, about finding someone who can thrive in...","Это про то, как ты подходишь, про твою устойчивость, про способность справляться с..."
Text/19a/text,...unique circumstances.,...необычными обстоятельствами.
Text/19b/text,"That said, you’d be wrong to think we’re looking for perfection.","С этим сказано, не думай, что мы ищем совершенство."
Text/19c/text,"A diamond starts as coal, after all",Алмаз ведь начинается как уголь.
Text/19d/text,"If there’s something worth refining, we’ll see it","Если есть что-то стоящее, мы это увидим."
Text/19e/text,"That said, you’d be wrong to think we’re looking for perfection.","Не думай, что мы ищем совершенство."
Text/19f/text,"So, don’t let nerves get the better of you",Так что не позволяй нервам взять верх.
Text/1a0/text,Take a deep breath and remember — this is as much about us getting to know you as it is about you proving yourself.,"Глубокий вдох и помни — это не только ты нам показываешь себя, но и мы тебя познаём."
Text/1a1/text,...,...
Text/1a2/text,You know rules,Ты знаешь правила.
Text/1a3/text,"Now, let’s begin, shall we?","Давай начнём, ладно?"
Text/1a4/text,Soo.. First question,"Итак, первый вопрос:"
Label/1a5/display_name,,
Text/1a6/text,"In this place, success comes to those who know how to navigate ambiguity","В этом месте успех приходит к тем, кто умеет ориентироваться в неясных ситуациях."
Text/1a7/text,[color=#2effff][b]How do you handle unclear situations?[/b][/color],[color=#2effff][b]Как ты справляешься с неясными ситуациями?[/b][/color]
Choice/1a8/text,[color=#6BBF59]Seek clarity[/color],[color=#6BBF59]Ищу ясность[/color]
Choice/1a8/disabled_text,,
Text/1a9/text,[color=#6BBF59]By seeking clarity and making informed decisions[/color],[color=#6BBF59]Ищу ясность и принимаю обоснованные решения[/color]
Text/1aa/text,"A wise choice. Clarity is earned, not given, and the bold reap the rewards.","Мудрое решение. Ясность заслуживается, а не дается, и смелые получают награду."
Choice/1ab/text,[color=#8e59f5]Wait[/color],[color=#8e59f5]Жду[/color]
Choice/1ab/disabled_text,,
Text/1ac/text,[color=#8e59f5]I try to wait until things become clearer[/color],"[color=#8e59f5]Я пытаюсь подождать, пока ситуация не прояснится[/color]"
Text/1ad/text,Hesitation is a trap. This place thrives on the indecisive and leaves them behind,Колебания — это ловушка. Это место процветает на нерешительных и оставляет их позади.
Choice/1ae/text,[color=#f7d038]Add more mystery[/color],[color=#f7d038]Добавить больше загадочности[/color]
Choice/1ae/disabled_text,,
Text/1af/text,[color=#f7d038]By adding more mystery to fit in here[/color],"[color=#f7d038]Добавляю больше загадочности, чтобы здесь вписаться[/color]"
Text/1b0/text,"Amusing, but this isn’t a game. Mystery won’t be your ally for long.","Забавно, но это не игра. Загадочность не будет твоим союзником долго."
Choice/1b1/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
