keys,en,ru
Text/311/text,BLOODY COW!,ТВОЮ МАТЬ!
Text/312/text,Why are you swearing?,Почему ты ругаешься?  
Text/313/text,Does the room frighten you?,Комната тебя пугает?  
Text/314/text,I... it’s just… unsettling.,Я... это просто... тревожно.  
Text/315/text,Unsettling? Yes… that’s a fair word.,Тревожно? Да... это подходящее слово.  
Text/316/text,This place was never meant to comfort anyone,"Это место никогда не было создано, чтобы успокаивать.  "
Text/317/text,It reflects… everything we hide. Everything we can’t fix.,"Оно отражает... всё, что мы скрываем. Всё, что не можем исправить.  "
Text/318/text,"You’ve come this far. That’s something, I suppose.","Ты зашел так далеко. Это уже что-то, полагаю.  "
Text/319/text,Most don’t.,Большинство не доходит.  
Text/31a/text,"They stumble, break, or simply…","Они оступаются, ломаются или просто...  "
Text/31b/text,[b]fade away[/b].,[b]исчезают[/b].  
Text/31c/text,I’m just here to finish the interview.,"Я просто здесь, чтобы закончить собеседование.  "
Text/31d/text,"Finish… yes, I suppose it’s about endings, isn’t it?","Закончить... да, наверное, дело в концовках, не так ли?  "
Text/31e/text,But endings come in many forms. Some are quiet. Others… not so much.,Но концовки бывают разными. Иногда тихими. А иногда... совсем нет.  
Text/31f/text,I am the last step.,Я — последний шаг.  
Text/320/text,The final test.,Финальное испытание.  
Text/321/text,But don’t think of it as success or failure — think of it as… revealing who you are. Or who you’ve been pretending to be,"Но не думай об этом как об успехе или провале — подумай, что это... раскрывает, кто ты есть. Или кем ты притворялся быть.  "
Text/322/text,"Well, we should begin","Ну, давай начнем.  "
Text/323/text,▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓  
Text/324/text,Sorry?,Извините?  
Text/325/text,I said — questions are all I have left,"Я сказал — вопросы — это всё, что у меня осталось.  "
Text/326/text,"And perhaps, all you have too","И, возможно, всё, что осталось у тебя.  "
Label/327/display_name,,
Text/328/text,Do you ever feel like this place pulls you in deeper the more you resist?,"Ты когда-нибудь чувствовал, что чем больше сопротивляешься этому месту, тем глубже оно затягивает?  "
Text/329/text,[color=#2effff][b]What’s the safest way to navigate through such a trap?[/b][/color],[color=#2effff][b]Как безопаснее всего пройти через такую ловушку?[/b][/color]  
Choice/32a/text,[color=#6BBF59]Break free[/color],[color=#6BBF59]Вырваться[/color]  
Choice/32a/disabled_text,,
Text/32b/text,"[color=#6BBF59]Break free, no matter the cost[/color]","[color=#6BBF59]Вырваться, чего бы это ни стоило[/color]  "
Text/32c/text,"Break free, no matter the cost?","Вырваться, чего бы это ни стоило?  "
Text/32d/text,"That’s bold, but traps are patient. They wait for boldness to stumble.","Смело, но ловушки терпеливы. Они ждут, пока смелость оступится.  "
Choice/32e/text,[color=#8e59f5]Tread carefully[/color],[color=#8e59f5]Шагать осторожно[/color]  
Choice/32e/disabled_text,,
Text/32f/text,[color=#8e59f5]Tread carefully and stay observant[/color],[color=#8e59f5]Шагать осторожно и оставаться внимательным[/color]  
Text/330/text,Treading carefully…,Шагать осторожно...  
Text/331/text,"Yes, that might give you a chance. But even the careful can misstep","Да, это может дать шанс. Но даже самые осторожные могут ошибиться.  "
